,unperturbed_C,optimized_C
2025-08-09 12:00,16.88913,19.523346
2025-08-09 13:00,16.895111,20.07022
2025-08-09 14:00,16.964935,20.43634
2025-08-09 15:00,16.896362,20.673706
2025-08-09 16:00,16.990967,20.773895
2025-08-09 17:00,16.896881,20.80075
2025-08-09 18:00,16.684174,20.86734
2025-08-09 19:00,16.54721,20.816498
2025-08-09 20:00,16.428009,20.834503
2025-08-09 21:00,16.249237,20.636139
2025-08-09 22:00,15.941254,20.390442
2025-08-09 23:00,15.608124,20.256226
2025-08-10 0:00,15.279999,20.158997
2025-08-10 1:00,14.882996,20.036285
2025-08-10 2:00,14.6371765,19.879913
2025-08-10 3:00,14.346771,19.729431
2025-08-10 4:00,14.090179,19.483246
2025-08-10 5:00,13.839203,19.322205
2025-08-10 6:00,13.7447815,19.123627
2025-08-10 7:00,13.646545,19.029968
2025-08-10 8:00,13.548401,18.957306
2025-08-10 9:00,13.449066,18.846466
2025-08-10 10:00,13.424469,18.763397
2025-08-10 11:00,13.507111,18.777588
2025-08-10 12:00,13.510437,19.075623
2025-08-10 13:00,13.638336,19.316132
2025-08-10 14:00,13.770477,19.724579
2025-08-10 15:00,13.938995,19.951874
2025-08-10 16:00,14.122253,20.072418
2025-08-10 17:00,14.228302,20.137299
2025-08-10 18:00,14.222137,20.182281
2025-08-10 19:00,14.093597,20.13379
2025-08-10 20:00,14.097839,19.986298
2025-08-10 21:00,13.94577,19.761383
2025-08-10 22:00,13.662567,19.399048
2025-08-10 23:00,13.498627,19.197968
2025-08-11 0:00,13.128265,18.970795
2025-08-11 1:00,12.964355,18.701294
2025-08-11 2:00,12.719574,18.415192
2025-08-11 3:00,12.84256,18.131195
2025-08-11 4:00,12.629852,17.946136
2025-08-11 5:00,12.5961,17.762665
2025-08-11 6:00,12.502136,17.600677
2025-08-11 7:00,12.356598,17.345367
2025-08-11 8:00,12.299286,17.264374
2025-08-11 9:00,12.255035,17.224121
2025-08-11 10:00,12.155731,17.329163
2025-08-11 11:00,12.268799,17.511627
2025-08-11 12:00,12.382477,17.87381
2025-08-11 13:00,12.724487,18.347626
2025-08-11 14:00,13.200653,18.769012
2025-08-11 15:00,13.540985,19.13565
2025-08-11 16:00,13.744171,19.349396
2025-08-11 17:00,13.92453,19.531158
2025-08-11 18:00,14.088867,19.631195
2025-08-11 19:00,14.096893,19.674164
2025-08-11 20:00,14.164215,19.69223
2025-08-11 21:00,14.053436,19.50113
2025-08-11 22:00,14.049805,19.356323
2025-08-11 23:00,14.067291,19.268188
2025-08-12 0:00,14.049133,19.022003
2025-08-12 1:00,13.968628,18.854523
2025-08-12 2:00,13.904144,18.731659
2025-08-12 3:00,13.715393,18.596985
2025-08-12 4:00,13.722321,18.462006
2025-08-12 5:00,13.719391,18.345795
2025-08-12 6:00,13.682861,18.16272
2025-08-12 7:00,13.643951,17.95581
2025-08-12 8:00,13.635895,17.926392
2025-08-12 9:00,13.729431,18.133759
2025-08-12 10:00,13.845978,18.195251
2025-08-12 11:00,14.040619,18.349152
2025-08-12 12:00,14.256012,18.810516
2025-08-12 13:00,14.303436,19.24472
2025-08-12 14:00,14.232086,19.538574
2025-08-12 15:00,14.423676,19.867554
2025-08-12 16:00,14.603638,20.025269
2025-08-12 17:00,14.684784,20.227753
2025-08-12 18:00,14.658295,20.138153
2025-08-12 19:00,14.629669,20.075989
2025-08-12 20:00,14.386139,20.048615
2025-08-12 21:00,14.396973,19.861786
2025-08-12 22:00,14.340698,19.552643
2025-08-12 23:00,14.295258,19.34195
2025-08-13 0:00,14.2751465,19.016754
2025-08-13 1:00,14.164001,18.807983
2025-08-13 2:00,14.06778,18.676483
2025-08-13 3:00,13.930023,18.536102
2025-08-13 4:00,13.715607,18.500214
2025-08-13 5:00,13.917755,18.506805
2025-08-13 6:00,14.021912,18.618256
2025-08-13 7:00,13.905182,18.771393
2025-08-13 8:00,13.80423,18.713898
2025-08-13 9:00,13.885803,18.834198
2025-08-13 10:00,13.912018,19.020416
2025-08-13 11:00,14.235565,19.173706
2025-08-13 12:00,14.531586,19.51004
2025-08-13 13:00,14.859711,19.77835
2025-08-13 14:00,15.293579,19.97641
2025-08-13 15:00,15.512482,20.349976
